,is_employed,self_employed,salary,additional_income,credit_score,eviction,criminal,age,score,is_good
0,True,False,2400,1070,533,1,1,47,20.0,0.0
1,True,False,2645,0,623,1,1,48,70.0,1.0
2,False,True,5400,794,531,1,1,34,20.0,0.0
3,True,False,8000,0,500,1,1,57,20.0,0.0
4,True,False,3066,0,595,1,1,43,78.59634703196348,1.0
5,True,False,2720,500,522,1,1,32,60.0,0.0
6,True,False,3200,0,625,1,1,33,77.58812785388128,1.0
7,True,False,2840,0,585,1,1,22,78.08401826484018,1.0
8,False,False,2000,0,594,1,1,45,20.0,0.0
9,True,False,1200,0,608,1,1,32,81.03287671232877,1.0
10,True,False,3000,1500,511,1,1,28,20.0,0.0
11,True,False,6781,0,832,1,1,41,31.617190437818962,0.0
12,False,False,2000,2375,681,1,1,57,20.0,0.0
13,True,False,6640,0,613,1,1,44,85.56986301369864,1.0
14,True,False,3400,1500,722,1,1,38,20.0,0.0
15,True,False,2900,0,554,1,1,24,60.0,0.0
16,True,False,2300,0,563,1,2,29,77.63013698630137,1.0
17,True,False,5637,0,806,1,1,37,25.0,0.0
18,True,False,51003,3500,643,1,1,35,81.99908675799087,1.0
19,True,False,1476,0,721,1,1,20,70.0,1.0
20,True,False,1000,0,599,1,2,46,20.0,0.0
21,False,True,3000,0,605,1,1,49,20.0,0.0
22,True,False,3688,0,515,1,1,30,20.0,0.0
23,False,True,3000,784,400,0,0,47,60.0,0.0
24,True,False,1100,0,578,1,2,22,20.0,0.0
25,True,False,2500,0,544,1,1,36,25.0,0.0
26,True,False,6666,0,679,1,1,31,70.0,1.0
27,True,False,6984,0,694,1,1,51,81.26392694063927,1.0
28,True,False,2500,0,689,1,2,22,81.91506849315068,1.0
29,True,False,3500,0,532,2,1,36,20.0,0.0
30,True,False,3092,0,850,1,1,52,82.16712328767123,1.0
31,True,True,1556,0,555,1,1,26,20.0,0.0
32,False,True,3000,0,706,1,1,34,85.52785388127853,1.0
33,True,False,3600,0,586,1,1,54,20.0,0.0
34,True,False,2600,0,512,1,1,25,20.0,0.0
35,True,False,2100,0,651,1,2,22,80.19360730593607,1.0
36,True,False,8000,0,762,1,1,50,79.35251141552511,1.0
