,is_employed,self_employed,credit_score,eviction,pets,criminal,age,score,is_good
3582,1,0,0.446,1,0,1,29,80.82283105022832,1.0
4274,1,0,0.336,1,0,1,38,20.0,0.0
3079,0,1,0.294,1,0,1,35,20.0,0.0
2076,1,0,0.506,1,0,1,38,,
3764,1,0,0.232,1,0,1,37,,
2754,1,0,0.222,1,0,1,32,20.0,0.0
521,1,0,0.408,1,0,1,50,20.0,0.0
3782,1,0,0.368,1,0,1,33,,
4550,1,0,0.286,1,0,1,19,20.0,0.0
240,1,0,0.396,1,0,1,23,20.0,0.0
2884,0,0,0.286,1,0,1,28,20.0,0.0
187,1,0,0.276,1,0,1,59,,
3324,1,1,0.298,1,0,1,36,20.0,0.0
2271,1,0,0.354,1,0,1,34,20.0,0.0
2918,1,0,0.38,1,0,1,37,20.0,0.0
3392,1,0,0.38,1,0,1,29,20.0,0.0
1846,1,0,0.322,1,0,1,29,78.91141552511415,1.0
717,1,0,0.308,1,0,0,30,20.0,0.0
3599,1,0,0.634,1,0,0,21,20.0,0.0
2606,1,0,0.286,1,0,1,32,,
3375,1,0,0.216,1,0,1,28,78.18490747416486,1.0
1731,1,0,0.54,1,0,1,23,77.42009132420091,1.0
2722,0,1,0.444,1,0,1,34,20.0,0.0
4528,1,0,0.73,1,0,1,30,,
1096,1,0,0.448,1,0,1,25,20.0,0.0
2951,1,0,0.424,1,0,0,20,,
3412,1,0,0.524,1,0,1,29,20.0,0.0
4487,1,0,0.344,1,0,1,30,83.78447488584474,1.0
2837,1,0,0.298,1,0,1,32,20.0,0.0
4138,1,0,0.342,1,0,1,25,54.585654767856546,0.0
3650,1,1,0.448,1,0,1,26,,
1294,1,0,0.34,1,0,1,21,78.11324200913242,1.0
140,1,0,0.578,1,0,1,20,52.71343023458468,0.0
1216,1,0,0.504,1,0,1,25,78.99543378995433,1.0
2372,1,0,0.302,1,0,0,33,20.0,0.0
2530,1,0,0.502,1,0,0,22,80.30285234555767,1.0
213,1,0,0.414,1,0,1,22,20.0,0.0
842,1,0,0.828,1,0,1,37,83.72146118721462,1.0
