,is_employed,self_employed,credit_score,eviction,pets,criminal,age,score,is_good
1257,1,0,0.588,1,0,1,22,80.33972602739726,1.0
4016,1,0,0.75,1,0,0,37,57.86903035186678,0.0
3820,0,1,0.76,1,0,1,27,20.0,0.0
2837,1,0,0.466,1,0,1,27,77.08401826484018,1.0
2320,1,0,0.702,1,0,1,61,,
3256,1,0,0.41,1,0,1,30,33.53059360730594,0.0
1510,1,0,0.448,1,0,1,31,73.76413932250186,0.0
2120,1,0,0.638,1,0,1,30,83.5324200913242,1.0
3690,1,0,0.514,1,0,1,35,84.91872146118722,1.0
295,1,0,0.348,1,0,1,24,20.0,0.0
2348,1,0,0.754,1,0,1,25,79.77260273972603,1.0
667,0,0,0.288,1,0,1,42,20.0,0.0
2233,1,0,0.528,1,0,1,22,20.0,0.0
3801,1,0,0.356,1,0,1,26,20.0,0.0
1463,1,0,0.286,1,0,1,19,20.0,0.0
665,1,0,0.342,1,0,1,37,20.0,0.0
2954,1,0,0.286,1,0,1,29,20.0,0.0
3629,1,0,0.386,1,0,1,23,82.7552511415525,1.0
1556,1,0,0.286,1,0,1,20,,
110,1,1,0.27,1,0,1,39,20.0,0.0
2888,0,1,0.788,1,0,1,39,,
3122,0,0,0.182,1,0,1,41,20.0,0.0
1347,0,0,0.21,1,0,1,21,20.0,0.0
2703,1,0,0.862,1,0,1,36,84.18356164383562,1.0
97,1,0,0.286,1,0,1,25,20.0,0.0
3017,1,1,0.516,1,0,1,50,82.31415525114156,1.0
1032,1,1,0.246,1,0,1,30,20.0,0.0
3863,1,0,0.49,1,0,1,47,,
2102,1,0,0.528,1,0,1,22,82.39817351598174,1.0
3184,1,0,0.32,1,0,1,28,20.0,0.0
2396,1,0,0.358,1,0,1,36,20.0,0.0
542,1,0,0.28,1,0,1,32,20.0,0.0
1373,1,0,0.286,1,0,0,27,20.0,0.0
2734,1,0,0.478,1,0,1,21,78.28127853881278,1.0
3413,1,1,0.396,1,0,1,26,20.0,0.0
972,0,1,0.642,1,0,1,34,20.0,0.0
88,1,0,0.776,1,0,1,22,77.54611872146118,1.0
4017,1,0,0.41,1,0,1,34,,
1788,1,1,0.16,1,0,0,24,20.0,0.0
1144,1,0,0.296,1,0,1,50,20.0,0.0
862,1,0,0.63,1,0,0,28,80.9068493150685,1.0
1733,0,0,0.24,1,0,0,40,20.0,0.0
937,1,0,0.284,1,0,1,56,81.43196347031963,1.0
1033,1,0,0.462,1,0,1,33,20.0,0.0
3897,1,0,0.528,1,0,1,39,84.30958904109589,1.0
2342,1,0,0.378,1,0,1,53,,
3208,0,1,0.466,1,0,1,29,79.24090362893536,1.0
4062,1,0,0.556,1,0,1,45,,
3258,1,0,0.3,1,0,1,27,20.0,0.0
3830,1,0,0.464,1,0,1,41,83.32237442922374,1.0
27,1,0,0.552,1,0,1,28,,
22,1,0,0.32,1,0,1,35,20.0,0.0
1043,1,0,0.736,1,0,1,39,,
3099,1,0,0.286,1,0,1,28,20.0,0.0
2765,1,0,0.436,1,0,1,26,,
3051,0,1,0.474,1,0,1,20,61.089515623601045,0.0
3859,1,0,0.758,1,0,1,21,84.28858447488585,1.0
1276,1,0,0.292,1,0,1,27,20.0,0.0
1903,1,0,0.362,1,0,1,21,20.0,0.0
3746,1,1,0.462,1,0,1,31,20.0,0.0
649,1,0,0.532,1,0,1,30,,
432,1,0,0.774,1,0,1,23,79.62557077625571,1.0
1263,1,0,0.506,1,0,1,21,20.0,0.0
4030,1,0,0.73,1,0,1,30,,
2167,1,0,0.296,1,0,1,20,20.0,0.0
1396,1,0,0.366,1,0,1,27,20.0,0.0
323,1,0,0.378,1,0,0,23,20.0,0.0
2308,1,0,0.388,1,0,0,26,20.0,0.0
904,1,0,0.622,1,0,1,25,20.0,0.0
224,1,1,0.692,1,0,1,31,,
1142,1,0,0.898,1,0,1,51,79.45753424657535,1.0
437,1,0,0.636,1,0,1,30,80.44474885844748,1.0
348,1,0,0.41,1,0,0,30,20.0,0.0
1864,1,1,0.376,1,0,1,25,20.0,0.0
1133,1,0,0.36,1,0,1,33,20.0,0.0
3653,1,0,0.418,1,0,1,22,78.86940639269406,1.0
2482,1,0,0.658,1,0,1,34,80.50776255707763,1.0
2202,1,0,0.356,1,0,0,33,,
1863,0,0,0.304,1,0,1,36,70.56002576782433,0.0
2466,1,0,0.272,1,0,1,42,20.0,0.0
1885,0,0,0.33,1,0,1,18,20.0,0.0
2716,1,0,0.356,1,0,0,22,20.0,0.0
2885,1,0,0.542,1,0,1,53,20.0,0.0
1314,1,0,0.596,1,0,1,49,78.11324200913242,1.0
2566,0,0,0.286,1,0,1,28,20.0,0.0
