,is_employed,self_employed,credit_score,eviction,pets,criminal,age,score,is_good
2451,1,0,0.336,1,0,1,0.4117647058823529,20.0,0.0
1008,1,0,0.706,1,0,1,0.4,84.58264840182649,1.0
998,1,0,0.27,1,0,1,0.36470588235294116,20.0,0.0
570,1,0,0.344,1,0,1,0.35294117647058826,81.49497716894977,1.0
787,1,0,0.286,1,0,1,0.4588235294117647,20.0,0.0
538,1,0,0.218,1,0,1,0.4,20.0,0.0
566,1,0,0.334,1,0,1,0.36470588235294116,82.90228310502283,1.0
1662,1,0,0.324,1,0,1,0.3411764705882353,78.61735159817351,1.0
2214,1,0,0.232,1,0,1,0.5176470588235295,20.0,0.0
2590,1,0,0.326,1,0,1,0.32941176470588235,20.0,0.0
2048,0,1,0.388,1,0,1,0.49411764705882355,20.0,0.0
1444,1,1,0.372,1,0,1,0.4,20.0,0.0
1425,1,0,0.48,1,0,1,0.35294117647058826,20.0,0.0
2544,1,0,0.286,1,0,1,0.32941176470588235,20.0,0.0
1412,1,0,0.338,1,0,1,0.36470588235294116,20.0,0.0
1227,1,0,0.548,1,0,1,0.43529411764705883,80.52876712328766,1.0
609,1,0,0.29,1,0,1,0.36470588235294116,20.0,0.0
458,1,0,0.318,1,0,1,0.4117647058823529,78.74337899543379,1.0
426,1,1,0.3,1,0,1,0.3176470588235294,20.0,0.0
640,1,0,0.66,1,0,1,0.4,82.39817351598174,1.0
560,1,0,0.354,1,0,1,0.36470588235294116,78.17625570776255,1.0
583,1,0,0.398,1,0,1,0.32941176470588235,20.0,0.0
2085,1,0,0.482,1,0,1,0.5882352941176471,79.31050228310502,1.0
1638,1,0,0.406,1,0,1,0.24705882352941178,82.65022831050229,1.0
1079,1,0,0.286,1,0,1,0.2823529411764706,20.0,0.0
20,1,1,0.294,1,0,1,0.35294117647058826,20.0,0.0
1601,1,0,0.256,1,0,1,0.49411764705882355,20.0,0.0
1967,1,0,0.656,1,0,1,0.3411764705882353,62.855552683725335,0.0
1537,1,0,0.444,1,0,1,0.35294117647058826,66.29606067641824,0.0
571,1,0,0.362,1,0,1,0.2823529411764706,20.0,0.0
851,1,0,0.584,1,0,1,0.29411764705882354,80.10867579908675,1.0
2250,1,0,0.286,1,0,0,0.6705882352941176,20.0,0.0
1553,0,0,0.346,1,0,1,0.43529411764705883,20.0,0.0
1843,1,0,0.662,1,0,1,0.5411764705882353,78.28127853881278,1.0
655,1,0,0.696,1,0,1,0.3411764705882353,84.70867579908676,1.0
1645,1,0,0.37,1,0,1,0.25882352941176473,78.08401826484018,1.0
826,1,0,0.286,1,0,1,0.25882352941176473,20.0,0.0
235,0,1,0.29,1,0,1,0.43529411764705883,20.0,0.0
2622,0,1,0.626,1,0,1,0.43529411764705883,78.84840182648402,1.0
211,1,0,0.336,1,0,1,0.25882352941176473,20.0,0.0
38,1,0,0.346,1,0,1,0.25882352941176473,20.0,0.0
1405,1,0,0.296,1,0,1,0.27058823529411763,20.0,0.0
1931,1,0,0.27,1,0,1,0.23529411764705882,20.0,0.0
2535,1,0,0.698,1,0,1,0.35294117647058826,79.73059360730593,1.0
2695,1,0,0.422,1,0,1,0.3176470588235294,78.61127283105023,1.0
894,0,0,0.288,1,0,1,0.49411764705882355,20.0,0.0
1739,0,0,0.564,1,0,1,0.29411764705882354,79.8986301369863,1.0
1756,1,0,0.574,1,0,1,0.4235294117647059,20.0,0.0
668,1,0,0.364,1,0,1,0.5176470588235295,20.0,0.0
1499,1,0,0.258,1,0,1,0.4823529411764706,20.0,0.0
